time,midi_values,map,map_change,epochtype
55.17708333333334,53,inv,False,other
55.98958333333334,50,inv,False,other
57.640624999999986,57,shinv,True,first
58.35416666666667,52,inv,True,first
59.14062500000001,53,inv,False,other
59.83854166666668,50,inv,False,other
61.359374999999986,57,shinv,True,first
61.99479166666665,50,shinv,False,other
62.57291666666665,55,shinv,False,other
63.27083333333335,50,inv,True,first
64.58854166666666,57,norm,True,first
65.21354166666666,57,norm,False,other
65.91145833333334,53,inv,True,first
66.61979166666669,50,inv,False,other
68.08854166666669,48,inv,False,other
68.74479166666669,50,inv,False,other
69.36458333333331,59,norm,True,first
69.97395833333331,55,norm,False,other
70.58333333333331,53,shinv,True,first
72.03124999999999,57,shinv,False,other
72.73437499999999,53,shinv,False,other
73.39583333333331,55,shinv,False,other
74.13020833333331,52,shinv,False,other
75.36979166666666,53,shinv,False,other
76.01562499999999,55,norm,True,first
76.64062499999999,59,norm,False,other
77.23437499999999,60,norm,False,other
78.63020833333331,57,norm,False,other
79.30729166666664,55,norm,False,other
79.93749999999997,53,norm,False,other
80.55729166666666,57,shinv,True,first
81.91666666666664,57,norm,True,first
82.65624999999999,59,norm,False,other
83.25520833333331,59,norm,False,other
83.86979166666664,55,norm,False,other
85.16145833333334,55,inv,True,first
85.82812500000001,52,inv,False,other
86.48958333333336,50,inv,False,other
87.17187500000003,50,inv,False,other
88.33854166666669,48,inv,False,other
88.93229166666669,52,inv,False,other
89.61458333333336,53,inv,False,other
90.29166666666669,50,inv,False,other
91.87500000000003,53,inv,False,other
92.5416666666667,50,inv,False,other
93.27083333333336,52,inv,False,other
93.92708333333336,48,inv,False,other
95.41666666666666,57,shinv,True,first
96.31249999999999,53,shinv,False,other
97.00520833333336,53,inv,True,first
97.66145833333336,50,inv,False,other
99.28645833333331,55,norm,True,first
99.9322916666667,55,inv,True,first
100.59375000000003,52,inv,False,other
101.2604166666667,52,inv,False,other
102.61458333333337,53,inv,False,other
103.21354166666666,59,norm,True,first
103.91666666666666,57,norm,False,other
104.56770833333333,50,shinv,True,first
106.53124999999999,55,shinv,False,other
107.11979166666666,57,shinv,False,other
107.97916666666666,53,shinv,False,other
108.61458333333333,55,shinv,False,other
109.21875,52,shinv,False,other
110.93229166666666,57,norm,True,first
111.59895833333333,55,norm,False,other
112.34374999999999,53,norm,False,other
112.97916666666666,60,norm,False,other
114.68229166666666,52,shinv,True,first
115.27604166666666,55,norm,True,first
115.97916666666666,57,norm,False,other
116.61979166666666,53,norm,False,other
117.95312499999999,55,norm,False,other
118.52083333333331,60,norm,False,other
119.12500000000003,50,inv,True,first
119.78125000000003,55,inv,False,other
121.57812500000003,52,inv,False,other
122.23958333333336,53,inv,False,other
122.89583333333336,50,inv,False,other
123.57812500000003,55,inv,False,other
124.97395833333336,52,inv,False,other
125.62500000000003,48,inv,False,other
126.2291666666667,53,inv,False,other
126.9166666666667,50,inv,False,other
128.00000000000003,55,inv,False,other
128.60416666666669,52,inv,False,other
129.234375,53,inv,False,other
129.85416666666666,50,inv,False,other
131.3125,55,inv,False,other
131.92708333333331,55,inv,False,other
132.52083333333331,60,norm,True,first
133.07291666666663,60,norm,False,other
134.35416666666666,50,inv,True,first
134.94791666666666,53,inv,False,other
135.5625,52,inv,False,other
136.19791666666666,55,inv,False,other
137.48958333333331,55,norm,True,first
138.19270833333331,53,shinv,True,first
138.88020833333331,57,shinv,False,other
139.58333333333334,50,inv,True,first
140.75520833333334,48,inv,False,other
141.48958333333334,52,inv,False,other
142.16145833333334,53,inv,False,other
142.890625,50,inv,False,other
143.90104166666669,53,inv,False,other
144.57812500000003,52,inv,False,other
145.28125000000003,55,inv,False,other
146.02604166666669,50,inv,False,other
147.59374999999997,50,shinv,True,first
148.32812499999997,55,shinv,False,other
149.0,52,inv,True,first
149.6875,50,inv,False,other
150.78125,53,inv,False,other
151.49999999999997,57,shinv,True,first
152.1875,52,inv,True,first
152.890625,53,inv,False,other
154.3125,48,inv,False,other
154.92708333333334,50,inv,False,other
155.546875,52,inv,False,other
156.22916666666666,53,inv,False,other
157.56770833333334,55,inv,False,other
158.18229166666666,53,inv,False,other
158.83854166666666,52,inv,False,other
159.45833333333331,50,inv,False,other
160.68229166666666,55,shinv,True,first
161.29687499999997,50,shinv,False,other
161.90104166666663,53,shinv,False,other
162.48958333333331,50,inv,True,first
163.61458333333331,55,inv,False,other
